GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E
1400000U,6037101110,Census Tract 1011.10; Los Angeles County; California,2367,146,4,292,5,558,780
1400000U,6037101122,Census Tract 1011.22; Los Angeles County; California,3047,25,24,544,0,277,281
1400000U,6037101220,Census Tract 1012.20; Los Angeles County; California,1704,10,87,490,0,517,626
1400000U,6037101221,Census Tract 1012.21; Los Angeles County; California,1835,150,27,390,0,805,724
1400000U,6037101222,Census Tract 1012.22; Los Angeles County; California,1417,14,80,51,25,55,930
1400000U,6037101300,Census Tract 1013; Los Angeles County; California,3202,69,0,229,0,294,416
1400000U,6037101400,Census Tract 1014; Los Angeles County; California,2340,58,0,333,0,128,630
1400000U,6037102103,Census Tract 1021.03; Los Angeles County; California,1686,51,0,241,0,27,49
1400000U,6037102104,Census Tract 1021.04; Los Angeles County; California,2951,59,23,472,0,72,475
1400000U,6037102105,Census Tract 1021.05; Los Angeles County; California,442,22,17,161,0,433,589
1400000U,6037102107,Census Tract 1021.07; Los Angeles County; California,2719,20,30,266,0,174,386
1400000U,6037103101,Census Tract 1031.01; Los Angeles County; California,1943,18,1,212,0,104,427
1400000U,6037103102,Census Tract 1031.02; Los Angeles County; California,3278,13,0,349,0,468,360
1400000U,6037103201,Census Tract 1032.01; Los Angeles County; California,2548,133,58,322,6,337,1021
1400000U,6037103202,Census Tract 1032.02; Los Angeles County; California,1110,19,0,45,0,678,93
1400000U,6037103300,Census Tract 1033; Los Angeles County; California,2960,101,18,185,0,45,712
1400000U,6037103401,Census Tract 1034.01; Los Angeles County; California,1716,4,15,439,0,41,337
1400000U,6037103402,Census Tract 1034.02; Los Angeles County; California,2319,475,0,344,0,273,398
1400000U,6037104103,Census Tract 1041.03; Los Angeles County; California,882,578,41,230,0,906,1620
1400000U,6037104105,Census Tract 1041.05; Los Angeles County; California,1222,298,41,103,0,2212,2014
1400000U,6037104108,Census Tract 1041.08; Los Angeles County; California,1259,402,21,240,0,1334,1696
1400000U,6037104124,Census Tract 1041.24; Los Angeles County; California,1991,415,33,191,0,479,981
1400000U,6037104201,Census Tract 1042.01; Los Angeles County; California,560,456,52,165,0,1499,1593
1400000U,6037104203,Census Tract 1042.03; Los Angeles County; California,1170,205,37,68,0,1761,1737
1400000U,6037104204,Census Tract 1042.04; Los Angeles County; California,1045,145,52,187,0,1142,1165
1400000U,6037104310,Census Tract 1043.10; Los Angeles County; California,725,55,62,4,0,2461,1169
1400000U,6037104321,Census Tract 1043.21; Los Angeles County; California,507,26,54,13,0,1116,1210
1400000U,6037104322,Census Tract 1043.22; Los Angeles County; California,465,2,17,29,6,842,495
1400000U,6037104401,Census Tract 1044.01; Los Angeles County; California,674,29,24,0,6,1409,941
1400000U,6037104403,Census Tract 1044.03; Los Angeles County; California,528,0,0,89,0,1182,493
1400000U,6037104404,Census Tract 1044.04; Los Angeles County; California,752,0,0,20,0,1507,1095
1400000U,6037104500,Census Tract 1045; Los Angeles County; California,517,5,6,27,0,1377,1607
1400000U,6037104610,Census Tract 1046.10; Los Angeles County; California,500,0,44,10,0,1696,874
1400000U,6037104620,Census Tract 1046.20; Los Angeles County; California,843,13,49,18,0,1176,1167
1400000U,6037104701,Census Tract 1047.01; Los Angeles County; California,928,118,120,9,14,1328,1399
1400000U,6037104703,Census Tract 1047.03; Los Angeles County; California,537,181,33,45,0,455,1055
1400000U,6037104704,Census Tract 1047.04; Los Angeles County; California,1040,282,3,133,0,1443,1761
1400000U,6037104821,Census Tract 1048.21; Los Angeles County; California,797,0,8,48,0,1311,1312
1400000U,6037104822,Census Tract 1048.22; Los Angeles County; California,387,10,26,101,0,849,826
1400000U,6037104823,Census Tract 1048.23; Los Angeles County; California,388,143,0,354,0,761,1549
1400000U,6037104824,Census Tract 1048.24; Los Angeles County; California,335,0,60,0,17,1220,950
1400000U,6037106010,Census Tract 1060.10; Los Angeles County; California,1521,34,21,52,15,1099,1307
1400000U,6037106020,Census Tract 1060.20; Los Angeles County; California,923,220,77,423,0,2222,985
1400000U,6037106111,Census Tract 1061.11; Los Angeles County; California,1981,274,55,548,0,1093,756
1400000U,6037106112,Census Tract 1061.12; Los Angeles County; California,1818,120,299,361,0,1431,1006
1400000U,6037106113,Census Tract 1061.13; Los Angeles County; California,1118,68,91,607,6,713,1232
1400000U,6037106114,Census Tract 1061.14; Los Angeles County; California,1935,73,20,726,41,2504,1630
1400000U,6037106403,Census Tract 1064.03; Los Angeles County; California,1183,190,8,60,67,1600,752
1400000U,6037106405,Census Tract 1064.05; Los Angeles County; California,1127,429,31,305,0,1075,1182
1400000U,6037106406,Census Tract 1064.06; Los Angeles County; California,2258,132,0,546,0,1999,1357
1400000U,6037106407,Census Tract 1064.07; Los Angeles County; California,752,142,11,74,0,978,376
1400000U,6037106408,Census Tract 1064.08; Los Angeles County; California,1015,147,151,64,5,1302,1148
1400000U,6037106510,Census Tract 1065.10; Los Angeles County; California,1978,117,145,1188,0,1292,879
1400000U,6037106520,Census Tract 1065.20; Los Angeles County; California,2098,206,73,90,0,1900,1117
1400000U,6037106603,Census Tract 1066.03; Los Angeles County; California,1899,262,6,632,0,193,689
1400000U,6037106604,Census Tract 1066.04; Los Angeles County; California,1223,139,16,181,0,1421,1369
1400000U,6037106641,Census Tract 1066.41; Los Angeles County; California,1385,50,0,397,0,30,234
1400000U,6037106642,Census Tract 1066.42; Los Angeles County; California,2491,34,39,317,0,202,431
1400000U,6037106643,Census Tract 1066.43; Los Angeles County; California,2499,340,0,743,0,564,165
1400000U,6037106645,Census Tract 1066.45; Los Angeles County; California,2508,8,155,462,0,239,300
1400000U,6037106646,Census Tract 1066.46; Los Angeles County; California,1410,168,13,669,0,429,403
1400000U,6037106648,Census Tract 1066.48; Los Angeles County; California,1627,0,263,0,35,1377,1411
1400000U,6037106649,Census Tract 1066.49; Los Angeles County; California,505,25,22,486,7,1274,370
1400000U,6037107010,Census Tract 1070.10; Los Angeles County; California,980,8,86,68,0,1279,576
1400000U,6037107020,Census Tract 1070.20; Los Angeles County; California,1288,56,75,194,135,1848,1325
1400000U,6037108101,Census Tract 1081.01; Los Angeles County; California,1178,22,56,506,0,46,320
